"identifier","Agglo_name","nr_CH_gmd","nr_non_CH_gmd","total_nr_gmd","population_CH","population_non_CH","total_population_2012"
"230","Winterthur",8,NA,8,133691,NA,133691
"261","Zürich",151,NA,151,1280944,NA,1280944
"351","Bern",75,NA,75,398873,NA,398873
"371","Biel/Bienne",27,NA,27,101271,NA,101271
"581","Interlaken",9,NA,9,23363,NA,23363
"942","Thun",15,NA,15,78964,NA,78964
"1061","Luzern",19,NA,19,220741,NA,220741
"1201","Altdorf (UR)",12,NA,12,31476,NA,31476
"1344","Lachen",4,NA,4,27711,NA,27711
"1630","Glarus",2,NA,2,29510,NA,29510
"1711","Zug",14,NA,14,121269,NA,121269
"2125","Bulle",7,NA,7,29437,NA,29437
"2196","Fribourg",36,NA,36,100111,NA,100111
"2546","Grenchen",3,NA,3,25640,NA,25640
"2581","Olten – Zofingen",21,NA,21,95041,NA,95041
"2601","Solothurn",22,NA,22,76750,NA,76750
"2701","Basel (CH/DE/FR)",107,98,205,527225,295887,823112
"2939","Schaffhausen (CH/DE)",15,1,16,67628,1396,69024
"3203","St. Gallen",23,NA,23,162795,NA,162795
"3251","Rheintal (AT/CH)",10,46,56,55000,279260,334260
"3271","Vaduz – Buchs (LI/CH)",4,11,15,26335,36475,62810
"3336","Rapperswil-Jona – Rüti",3,NA,3,45486,NA,45486
"3425","Wil (SG)",10,NA,10,70842,NA,70842
"3901","Chur",11,NA,11,56697,NA,56697
"4001","Aarau",12,NA,12,74244,NA,74244
"4021","Baden – Brugg",15,NA,15,105606,NA,105606
"4082","Wohlen (AG)",2,NA,2,21327,NA,21327
"4201","Lenzburg",5,NA,5,20754,NA,20754
"4260","Bad Säckingen – Stein (AG) (DE/CH)",3,1,4,5715,16765,22480
"4401","Arbon – Rorschach",8,NA,8,52734,NA,52734
"4436","Amriswil – Romanshorn",3,NA,3,24322,NA,24322
"4566","Frauenfeld",1,NA,1,24119,NA,24119
"4671","Konstanz – Kreuzlingen (DE/CH)",2,3,5,22637,96984,119621
"5002","Bellinzona",20,NA,20,50352,NA,50352
"5113","Locarno (CH/IT)",17,2,19,54737,1013,55750
"5192","Lugano (CH/IT)",51,17,68,145576,29740,175316
"5250","Como – Chiasso – Mendrisio (IT/CH)",12,37,49,50026,179412,229438
"5586","Lausanne",131,NA,131,389614,NA,389614
"5890","Vevey – Montreux",11,NA,11,81501,NA,81501
"5938","Yverdon-les-Bains",13,NA,13,39182,NA,39182
"6002","Brig – Visp",26,NA,26,45589,NA,45589
"6136","Martigny",3,NA,3,20075,NA,20075
"6153","Monthey",4,NA,4,30571,NA,30571
"6248","Sierre",6,NA,6,25131,NA,25131
"6266","Sion",18,NA,18,79746,NA,79746
"6421","La Chaux-de-Fonds – Le Locle (CH/FR)",8,2,10,52098,4802,56900
"6458","Neuchâtel",17,NA,17,87641,NA,87641
"6621","Genève (CH/FR)",88,112,200,552305,266363,818668
"6711","Delémont (CH/FR)",15,1,16,28313,42,28355
